Date,  Price  ,  Open  ,  High  ,  Low  ,  Vol  ,Change,direction,mavg
2021-01-06,37106,36104,37773,35993,11.68,0.03,Increasing,40881.5
2021-01-05,36160,36160,36605,35159,12.95,0,Decreasing,40360
2021-01-04,36215,36549,37718,36104,11.75,-0.01,Decreasing,39657.625
2020-12-31,36716,37161,37384,36716,,-0.01,Decreasing,38990
2020-12-30,37161,37940,38385,36772,,-0.02,Decreasing,38392
2020-12-29,37773,37328,39887,37272,18.99,0.01,Increasing,37863.5
2020-12-28,37328,36939,37384,36939,,0.01,Increasing,37265.5
2020-12-25,36994,36716,37106,36661,,0.01,Increasing,36931.625
2020-12-24,36716,37272,37384,36160,,-0.01,Decreasing,36882.875
2020-12-23,37272,37217,37384,36939,,0,Increasing,37021.875
2020-12-22,37106,36883,37328,36716,,0.01,Increasing,37133.25
2020-12-21,36883,37050,37328,36605,,0,Increasing,37154.125
2020-12-18,36716,36827,37272,36605,,0,Decreasing,37098.5
2020-12-17,36716,37161,37161,36438,,-0.02,Decreasing,36966.375
2020-12-16,37328,36661,37495,36605,,0.02,Increasing,36966.375
2020-12-15,36438,35826,37495,35826,,0.02,Increasing,36896.875
2020-12-14,35826,35492,36049,35159,,0.01,Increasing,36785.625
2020-12-11,35548,35437,35882,35270,,0,Decreasing,36570.125
2020-12-10,35548,34825,36160,34825,,0.02,Increasing,36375.375
2020-12-09,34936,33656,34936,33601,,0.04,Increasing,36132
2020-12-08,33712,33601,33712,33378,,0,Increasing,35756.5
2020-12-07,33656,33545,33712,33378,,0,Increasing,35374
2020-12-04,33601,33545,33601,33378,,0,Decreasing,34908.125
2020-12-03,33601,33601,33656,33378,,0,Decreasing,34553.5
2020-12-02,33656,33656,33712,33434,,0,Decreasing,34282.25
2020-12-01,33712,33490,33712,33378,,0,Decreasing,34052.75
2020-11-30,33712,33879,33879,33434,,0,Decreasing,33823.25
2020-11-27,33879,33935,33935,33601,,0,Decreasing,33691.125
2020-11-26,33935,34157,34157,33434,,-0.01,Decreasing,33719
2020-11-25,34157,34213,34213,33935,,0,Decreasing,33781.625
2020-11-24,34213,34268,34324,33935,,0,Decreasing,33858.125
2020-11-23,34324,34268,34380,33990,,0,Increasing,33948.5
2020-11-20,34268,34324,34380,33935,,0,Increasing,34025
2020-11-19,34213,34268,34324,33823,,0,Decreasing,34087.625
2020-11-18,34213,34380,34435,33935,,0,Decreasing,34150.25
2020-11-17,34380,34435,34491,33935,,0.01,Increasing,34212.875
2020-11-16,34102,34491,34491,33879,,-0.01,Decreasing,34233.75
2020-11-13,34491,34491,34491,34213,,0,Decreasing,34275.5
2020-11-12,34491,34435,34491,34157,,0,Decreasing,34310.25
2020-11-11,34491,34491,34491,33990,,0,Decreasing,34331.125
2020-11-10,34491,34268,34491,34213,,0.01,Increasing,34359
2020-11-09,34213,34602,34658,33879,,-0.01,Decreasing,34359
2020-11-06,34547,34602,34602,34268,,0,Decreasing,34400.75
2020-11-05,34547,34602,34658,34268,,0,Decreasing,34421.625
2020-11-04,34602,34491,34602,34268,,0,Increasing,34484.125
2020-11-03,34547,34602,34658,34324,,0,Decreasing,34491.125
2020-11-02,34658,34713,34769,34324,,0,Increasing,34512
2020-10-30,34491,34380,34491,33990,,0,Decreasing,34512
2020-10-29,34491,34435,34547,34102,,0,Decreasing,34512
2020-10-28,34491,34435,34658,34157,,0,Decreasing,34546.75
2020-10-27,34547,34491,34602,34213,,0,Increasing,34546.75
2020-10-26,34491,34602,34713,34268,,0,Decreasing,34539.75
2020-10-23,34658,34769,34936,34435,,0,Decreasing,34546.75
2020-10-22,34769,34658,34936,34435,,0,Increasing,34574.5
2020-10-21,34658,34602,34713,34435,,0,Increasing,34574.5
2020-10-20,34491,34825,34992,34380,,-0.01,Decreasing,34574.5
2020-10-19,34825,34713,34992,34380,,0,Increasing,34616.25
2020-10-16,34658,34713,34769,34268,,0,Decreasing,34637.125
2020-10-15,34713,34658,34936,34324,,0.01,Increasing,34657.875
2020-10-14,34491,34602,35047,34380,,0,Decreasing,34657.875
2020-10-13,34491,34713,34992,34324,,-0.01,Decreasing,34637
2020-10-12,34769,34992,35270,34491,,0,Decreasing,34637
